RANDOM ARRAY EXECUTION TIME----------------
Time taken to sort with BubbleSortUntilNoChange: 203 nanoseconds
Time taken to sort with BubbleSortUntilNoChange: 267 nanoseconds
Time taken to sort with BubbleSortUntilNoChange: 230 nanoseconds
Time taken to sort with BubbleSortUntilNoChange: 217 nanoseconds
Average time taken to sort with BubbleSortPassPerItem: 1496 nanoseconds
Average time taken to sort with BubbleSortUntilNoChange: 375 nanoseconds
Average time taken to sort with BubbleSortWhileNeeded: 4201 nanoseconds
NEARLY SORTED ARRAY EXECUTION TIME----------------
Time taken to sort with BubbleSortWhileNeeded: 8632 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 4323 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3746 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 80499 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 6937 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3419 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3542 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3507 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3375 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3177 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3326 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 24549 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 16805 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3285 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 2192 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 1966 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 1884 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 2487 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3206 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3742 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 5167 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3663 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3622 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 6467 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 4029 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3402 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3594 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 3331 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 2446 nanoseconds
Time taken to sort with BubbleSortWhileNeeded: 2156 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1330 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1640 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1121 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1452 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1409 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1362 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1120 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1351 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 20897 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1545 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1363 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1379 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1185 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1655 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1522 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 21843 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1496 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1543 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1045 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1425 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 4518 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1001 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 998 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1181 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 1222 nanoseconds
Time taken to sort with BubbleSortPassPerItem: 20663 nanoseconds
